method,avg_mean_IG,avg_mean_I,avg_mean_R
random_global,0.7981800000000002,0.3663238548801743,0.924428571429651
random_frontier,0.451,0.28422950529348984,0.3969047619128538
frontier_scored,0.54808,0.26565176082524145,0.8146666666693143
