planner,env_type,map_seed,episode_seed,target_ece,realized_ece,trust,attack_type,attack_eps,shield_enabled,density_override,success,collisions,near_misses,replans,avg_replan_latency_ms,path_length,cvar95,mean_risk,energy,safety_violations,shield_prevented
TrustAwareCVaR,static,1000,1020020,0.05,0.01929771900177002,0.2,none,0.0,True,,1,0,0,3,8.523936333328189,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020040,0.05,0.03044739589095116,0.4,none,0.0,True,,1,0,0,3,7.886287000000417,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020060,0.05,0.03796864628791809,0.6,none,0.0,True,,1,0,0,3,7.473161333336975,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020080,0.05,0.04288233458995819,0.8,none,0.0,True,,1,0,0,3,6.616955999997269,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020100,0.05,0.03340874969959259,1.0,none,0.0,True,,1,0,0,3,4.290885999997347,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1020030,0.05,0.03795994192361832,0.2,none,0.0,True,,1,0,0,3,7.990805333330778,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020050,0.05,0.030669116079807282,0.4,none,0.0,True,,1,0,0,3,7.867427000007865,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020070,0.05,0.0376198673248291,0.6,none,0.0,True,,1,0,0,3,7.62773766666669,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020090,0.05,0.043027343153953554,0.8,none,0.0,True,,1,0,0,3,6.0839923333351935,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020110,0.05,0.03687980830669403,1.0,none,0.0,True,,1,0,0,3,4.266471666653615,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1020040,0.05,0.03044739589095116,0.2,none,0.0,True,,1,0,0,3,7.9589506666574525,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020060,0.05,0.03796864628791809,0.4,none,0.0,True,,1,0,0,3,7.526605999998992,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020080,0.05,0.04288233458995819,0.6,none,0.0,True,,1,0,0,3,6.885675666675676,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020100,0.05,0.03340874969959259,0.8,none,0.0,True,,1,0,0,3,6.055221666656507,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020120,0.05,0.03705765709280968,1.0,none,0.0,True,,1,0,0,3,4.327968000003087,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1020050,0.05,0.030669116079807282,0.2,none,0.0,True,,1,0,0,3,8.016720000000532,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020070,0.05,0.0376198673248291,0.4,none,0.0,True,,1,0,0,3,7.584245000003875,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020090,0.05,0.043027343153953554,0.6,none,0.0,True,,1,0,0,3,7.210309666656182,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020110,0.05,0.03687980830669403,0.8,none,0.0,True,,1,0,0,3,6.101842999991429,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020130,0.05,0.045261812210083005,1.0,none,0.0,True,,1,0,0,3,4.284480999994382,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1020060,0.05,0.03796864628791809,0.2,none,0.0,True,,1,0,0,3,7.98025566666638,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020080,0.05,0.04288233458995819,0.4,none,0.0,True,,1,0,0,3,7.640881333334922,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020100,0.05,0.03340874969959259,0.6,none,0.0,True,,1,0,0,3,7.123692333323106,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020120,0.05,0.03705765709280968,0.8,none,0.0,True,,1,0,0,3,6.127330666667301,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020140,0.05,0.01884693115949631,1.0,none,0.0,True,,1,0,0,3,4.244622000006378,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1020070,0.05,0.0376198673248291,0.2,none,0.0,True,,1,0,0,3,8.064511666655486,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020090,0.05,0.043027343153953554,0.4,none,0.0,True,,1,0,0,3,7.673966333328508,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020110,0.05,0.03687980830669403,0.6,none,0.0,True,,1,0,0,3,7.33547633333842,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020130,0.05,0.045261812210083005,0.8,none,0.0,True,,1,0,0,3,6.083373666674182,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020150,0.05,0.03699250265955925,1.0,none,0.0,True,,1,0,0,3,4.25958466666998,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1020080,0.05,0.04288233458995819,0.2,none,0.0,True,,1,0,0,3,8.007897333338102,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020100,0.05,0.03340874969959259,0.4,none,0.0,True,,1,0,0,3,7.598069333340618,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020120,0.05,0.03705765709280968,0.6,none,0.0,True,,1,0,0,3,6.9872103333257956,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020140,0.05,0.01884693115949631,0.8,none,0.0,True,,1,0,0,3,6.287675999999465,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020160,0.05,0.038560252785682675,1.0,none,0.0,True,,1,0,0,3,4.560404000007641,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1020090,0.05,0.043027343153953554,0.2,none,0.0,True,,1,0,0,3,8.051516333324571,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020110,0.05,0.03687980830669403,0.4,none,0.0,True,,1,0,0,3,7.645890666670614,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020130,0.05,0.045261812210083005,0.6,none,0.0,True,,1,0,0,3,7.001940666659341,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020150,0.05,0.03699250265955925,0.8,none,0.0,True,,1,0,0,3,6.0641476666679255,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020170,0.05,0.04331623435020447,1.0,none,0.0,True,,1,0,0,3,4.256750666665236,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1020100,0.05,0.03340874969959259,0.2,none,0.0,True,,1,0,0,3,8.024335999995932,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020120,0.05,0.03705765709280968,0.4,none,0.0,True,,1,0,0,3,7.558140333325507,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020140,0.05,0.01884693115949631,0.6,none,0.0,True,,1,0,0,3,6.934862333328813,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020160,0.05,0.038560252785682675,0.8,none,0.0,True,,1,0,0,3,6.041925333325556,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020180,0.05,0.027511376142501834,1.0,none,0.0,True,,1,0,0,3,4.397027333330546,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1020110,0.05,0.03687980830669403,0.2,none,0.0,True,,1,0,0,3,8.007387000001623,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020130,0.05,0.045261812210083005,0.4,none,0.0,True,,1,0,0,3,7.538674666657623,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1020150,0.05,0.03699250265955925,0.6,none,0.0,True,,1,0,0,3,6.987130666667933,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
