comparison,metric,mean_a,mean_b,n_a,n_b,t_stat,t_p,mwu_stat,mwu_p,cohens_d,ci95_diff_lo,ci95_diff_hi,significant_p05,group_col,f_stat,p_value,planner,test_type
TrustAwareCVaR_vs_Astar,collisions,0.35833333333333334,0.3283333333333333,600.0,600.0,1.093971515331331,0.2741874760501717,185400.0,0.27405127047315725,0.06316047488623266,-0.023333333333333317,0.08166666666666667,False,,,,,
TrustAwareCVaR_vs_Astar,success,0.5016666666666667,0.5316666666666666,600.0,600.0,-1.039409808324387,0.29882391412211845,174600.0,0.2986751221173023,-0.06001035326344221,-0.08666666666666667,0.025000000000000022,False,,,,,
TrustAwareCVaR_vs_Astar,cvar95,0.06501441449715958,0.08822698123132187,600.0,600.0,-5.264621486321486,1.6754384681890103e-07,141881.0,2.0216906022996307e-10,-0.3039530632309198,-0.03149114493430453,-0.014115463901448614,True,,,,,
TrustAwareCVaR_vs_Astar,energy,22.120932915376045,21.92591245442601,600.0,600.0,0.24956863292330236,0.8029637528362279,197849.5,0.002810703131234789,0.01440885173995555,-1.329038340860525,1.7379049684125354,False,,,,,
TrustAwareCVaR_vs_Astar,path_length,21.554432915376044,21.38516245442601,600.0,600.0,0.21920284045863564,0.8265293896367858,203095.5,0.0001072797852321393,0.012655681894592388,-1.3472680941171413,1.709700230742359,False,,,,,
TrustAwareCVaR_vs_Astar,avg_replan_latency_ms,5.946311530000073,0.6111477988890732,600.0,600.0,42.93295155006605,3.741714885866518e-191,332331.0,4.4298515883335676e-142,2.4787351134535793,5.0809766467879145,5.577922358024085,True,,,,,
TrustAwareCVaR_vs_Dstar,collisions,0.35833333333333334,0.3283333333333333,600.0,600.0,1.093971515331331,0.2741874760501717,185400.0,0.27405127047315725,0.06316047488623266,-0.023333333333333317,0.08166666666666667,False,,,,,
TrustAwareCVaR_vs_Dstar,success,0.5016666666666667,0.5316666666666666,600.0,600.0,-1.039409808324387,0.29882391412211845,174600.0,0.2986751221173023,-0.06001035326344221,-0.08666666666666667,0.025000000000000022,False,,,,,
TrustAwareCVaR_vs_Dstar,cvar95,0.06501441449715958,0.08822698123132187,600.0,600.0,-5.264621486321486,1.6754384681890103e-07,141881.0,2.0216906022996307e-10,-0.3039530632309198,-0.03149114493430453,-0.014115463901448614,True,,,,,
TrustAwareCVaR_vs_Dstar,energy,22.120932915376045,21.92591245442601,600.0,600.0,0.24956863292330236,0.8029637528362279,197849.5,0.002810703131234789,0.01440885173995555,-1.329038340860525,1.7379049684125354,False,,,,,
TrustAwareCVaR_vs_Dstar,path_length,21.554432915376044,21.38516245442601,600.0,600.0,0.21920284045863564,0.8265293896367858,203095.5,0.0001072797852321393,0.012655681894592388,-1.3472680941171413,1.709700230742359,False,,,,,
TrustAwareCVaR_vs_Dstar,avg_replan_latency_ms,5.946311530000073,0.6026959058333966,600.0,600.0,43.05205814391408,2.457722629916308e-191,332602.0,1.4046941363362605e-142,2.485611735855622,5.088000329947873,5.584871003847317,True,,,,,
